,name,grape,region,variety,rating,notes
219,Le Potazzine Gorelli Brunello di Montalcino 2009,,"Montalcino, Tuscany, Italy",Red Wine,90.0,"Ruby red with garnet reflections. This wine shows deep, intense aromas with hints of soft fruit aromas as well as ripe fruit in an elegant contrast. Austere flavors, round but velvety, with enduring intensity and persistence."
220,Le Potazzine Gorelli Brunello di Montalcino 2011,,"Montalcino, Tuscany, Italy",Red Wine,91.0,"Ruby red with intense garnet reflections. The nose is profound and ample, with berry notes, but also with dried fruit notes that are an elegant contrast. The palate is intense, austere, full, and velvety with a long persistence."
221,Le Potazzine Gorelli Brunello di Montalcino 2010,,"Montalcino, Tuscany, Italy",Red Wine,94.0,"Ruby red with garnet reflections. Deep, intense, with hints of soft fruit aromas as well as ripe fruit in an elegant contrast. Austere, round but velvety, with enduring intensity and persistence."
222,Le Potazzine Gorelli Brunello di Montalcino 2012,,"Montalcino, Tuscany, Italy",Red Wine,96.0,"Bright red garnet color and shiny. Strong olfactory elegance, dominated by a dense undergrowth but with wrap around reflection of sweet spices, hints of tobacco and coffee. A harmonious taste; well integrated alcohol. Tannins are rightly persistent, fine and round with a long, balanced finish."
223,Le Potazzine Rosso di Montalcino 2012,,"Montalcino, Tuscany, Italy",Red Wine,90.0,"Ruby red with warm garnet scents. An initial fruity interlacing blends with sensations of red-berry fruits as well as soft fruit, with light flowery lacework. Spicy and mineral finish. Dynamic, tasty, tapering body, properly tannic, with a particularly intense and persistent aftertaste."
224,Le Potazzine Gorelli Brunello di Montalcino 2013,,"Montalcino, Tuscany, Italy",Red Wine,93.0,100% Sangiovese from two vineyards in Montalcino: ‘Le Prata’ with SE exposure at 500m above sea level; and ‘La Torre’ with SW exposure at 320m above sea level. Fermentation and maceration last 30 days. The wine then matures for 40 months in large oak cask before finishing in the bottle for 12 months before release.
225,Le Potazzine Rosso di Montalcino 2014,,"Montalcino, Tuscany, Italy",Red Wine,90.0,"Ruby red with warm garnet notes. The nose is fruity, with aromas of red berries, slight floral notes, with a spicy and mineral finish. Dynamic, flavorful, and elegant on the palate with a correctly tannic, intense and persistent aftertaste."
226,Le Potazzine Rosso di Montalcino 2015,,"Montalcino, Tuscany, Italy",Red Wine,92.0,"Fragrant blue flower, red berry and balsamic notes set the tone for this delicious red. The elegantly structured palate delivers wild cherry, crushed raspberry and chopped mint flavors, a potpourri of dark spice lingering through the finish. It’s enjoyable now but promises fine drinking over the next several years."
227,Le Potazzine Rosso di Montalcino 2017,,"Montalcino, Tuscany, Italy",Red Wine,91.0,"Fragrant blue flower, red berry and balsamic notes set the tone for this delicious red. The elegantly structured palate delivers wild cherry, crushed raspberry and chopped mint flavors, a potpourri of dark spice lingering through the finish. It’s enjoyable now but promises fine drinking over the next several years."
228,Le P'tit Paysan Jack's Hill Chardonnay 2011,,"Monterey, Central Coast, California",White Wine,92.0,"Flint, sea air, meyer lemon and hints of brioche. Broad on the palate without losing focus. Finishes with bright acidity, lemon curd and salty minerality."
229,Le P'tit Paysan Jack's Hill Chardonnay 2013,,"Central Coast, California",White Wine,92.0,"Picked at moderate sugars and fermented in a combination of stainless steel and neutral oak. Neutral oak aged, barrel stirred with partial secondary fermentation. This wine is bright, with orchard fruit giving way to an intense minerality."
230,Le P'tit Paysan Jack's Hill Chardonnay 2015,,"Monterey, Central Coast, California",White Wine,89.0,"Bright, with orchard fruit giving way to an intense minerality."
231,Le P'tit Paysan La Marea Albarino 2014,,"Central Coast, California",White Wine,92.0,"Kristy Vineyard is on a bench overlooking the Salinas River mainly consisting of calcium rich shale soils and ripens at low sugar and high acids. Cold fermented in stainless steel for aromatic intensity. Citrus blossom and crushed seashell aromas, elegant texture and bright acidity. "
232,Le P'tit Paysan La Marea Albarino 2015,,"Central Coast, California",White Wine,89.0,"Kristy Vineyard is on a bench overlooking the Salinas River mainly consisting of calcium rich shale soils and ripens at low sugar and high acids. Cold fermented in stainless steel for aromatic intensity. Citrus blossom and crushed seashell aromas, elegant texture and bright acidity. "
233,Le P'tit Paysan La Marea Grenache 2013,,"Central Coast, California",Red Wine,90.0,"Sourced from the white clays of Spur Ranch and fermented with some whole cluster inclusion, a deliberately light-handed expression of Grenache showing the aromatic complexity and subtlety of the grape."
234,Le P'tit Paysan Le P'tit Pape 2011,,"San Benito, Central Coast, California",Red Wine,90.0,"Cherry blossoms, dusty road, red plums, herb de provénce. Rosewater and red cherry on the palate, nimble with medium body. Grippy finish with firm Grenache tannins and hints of olive and sagebrush."
235,Le P'tit Paysan Le P'tit Pape 2013,,"San Benito, Central Coast, California",Red Wine,90.0,"Cherry blossoms, dusty road, red plums, herb de provnce. Rosewater and red cherry on the palate, nimble with medium body. Grippy finish with firm Grenache tannins and hints of olive and sagebrush."
236,Le P'tit Paysan Le P'tit Pape 2012,,"Central Coast, California",Red Wine,91.0,"Cherry blossoms, dusty road, red plums, herb de provnce. Rosewater and red cherry on the palate, nimble with medium body. Grippy finish with firm Grenache tannins and hints of olive and sagebrush."
237,Le P'tit Paysan Le P'tit Pape 2014,,"San Benito, Central Coast, California",Red Wine,89.0,"Cherry blossoms, dusty road, red plums, herb de Provence. Rosewater and red cherry on the palate, nimble with medium body. Grippy finish with firm Grenache tannins and hints of olive and sagebrush."
238,Le P'tit Paysan Le P'tit Pape 2015,,"San Benito, Central Coast, California",Red Wine,91.0,"Cherry blossoms, dusty road, red plums, herb de Provence. Rosewater and red cherry on the palate, nimble with medium body. Grippy finish with firm Grenache tannins and hints of olive and sagebrush."
239,Le P'tit Paysan Le P'tit Pape 2016,,"Central Coast, California",Red Wine,90.0,"Cherry blossoms, dusty road, red plums, herb de Provence. Rosewater and red cherry on the palate, nimble with medium body. Grippy finish with firm Grenache tannins and hints of olive and sagebrush."
240,Le P'tit Paysan Le P'tit Pape 2017,,"Central Coast, California",Red Wine,93.0,"Cherry blossoms, dusty road, red plums, herb de Provence. Rosewater and red cherry on the palate, nimble with medium body. Grippy finish with firm Grenache tannins and hints of olive and sagebrush."
241,Le P'tit Paysan Petite Sirah 2011,,"Monterey, Central Coast, California",Red Wine,91.0,"Black plums, blackberry, crushed rocks, black olive. Full and rich on the palate, but neither hot nor oaky. Structured without being overbearing, rich dark fruit, long finish with hints of stem tannins."
242,Le P'tit Paysan Petite Sirah 2013,,"Monterey, Central Coast, California",Red Wine,91.0,Picked at atypically low sugars for the variety. Fermented in small lots with some stem inclusion and some native yeasts. Aged on lees in less than 10% new oak. From a limestone and shale rich block on Pierce Ranch in southern Monterey County.
243,Le P'tit Paysan Rose 2018,,"Central Coast, California",Pink and Rosé,92.0,"Made from Grenache and Mourvédre grown in Spur Ranch's limestone-rich clays and Grenache and Cinsault from the granitic bluffs above the Arroyo Seco River. Picked below 22 brix, with bright natural acidity. Fermented in several lots with some native and some cultured yeasts."
244,Le Ragnaie Brunello di Montalcino 2010,,"Montalcino, Tuscany, Italy",Red Wine,93.0,"The fruit hails from three organically farmed estate vineyards with the Ragnaie estate comprising 50% of the blend. The other two sites are Fornace, which brings richness and suppleness and Petroso, a vineyard next to Soldera that adds structure and texture to the final assemblage. "
245,Le Ragose Amarone Della Valpolicella 2004,,"Valpolicella, Veneto, Italy",Red Wine,92.0,"Extraordinarily powerful and intense wine of 14-16% alcohol with a concentrated black cherry confettura (jam) fruit. Dense and super ripe, yet still well-mannered and harmonious, the Amarone finishes rich and dry with firm tannins allowing lengthy bottle development. Le Ragose is a benchmark of the type. "
246,Le Ragose Amarone Della Valpolicella 2005,,"Valpolicella, Veneto, Italy",Red Wine,90.0,"Dense, ripe and lush berries with a hint of dark chocolate. This is a wine of power and elegance, harmonic and enticing. The finish is long and satisfying. "
247,Le Roi des Pierres Sancerre 2014,,"Sancerre, Loire, France",White Wine,90.0,"Intense aromas of citrus and grapefruit entice the senses, unfolding to reveal exotic fruits (passion fruit and kiwi) and a pleasant mineral character. Round and substantial, the palate offersa fresh, balanced acidity. A stunning silex Sancerre!"
248,Le Roi des Pierres Sancerre 2015,,"Sancerre, Loire, France",White Wine,90.0,"Intense aromas of citrus and grapefruit entice the senses, unfolding to reveal exotic fruits (passion fruit and kiwi) and a pleasant mineral character. Round and substantial, the palate offersa fresh, balanced acidity. A stunning silex Sancerre!"
249,Le Roi des Pierres Sancerre 2016,,"Sancerre, Loire, France",White Wine,91.0,"This Sancerre is an enchanting pale gold yellow with green hints. Concentrated aromas of exotic fruits, grapefruit, passion fruit, mango and blood orange tempt the senses before unfolding to a structured, mineral-driven palate with a graphite finish that evokes the flint terroir of St. Gemme. Notes of orange zest linger on the beautifully balanced finish that leaves a saline impression."
250,Le Roi des Pierres Sancerre Rose 2016,,"Sancerre, Loire, France",Pink and Rosé,90.0,"Beautifully pink with a hint of peach, this rose has an intense, complex nose that evokes ripe fruit—notes of mandarin, peach, pear and banana. The palate is medium-bodied, round and voluptuous with a hint of sweetness, supported by an inviting freshness. A lengthy finish leaves a lasting impression. Blend: 100% Pinot Noir"
251,Le Salette Amarone Classico 2011,,"Veneto, Italy",Red Wine,90.0," Deep ruby red robe with an intense and highly developed nose  with notes of dry herbs, prunes and cherries. Full-bodied with a velvety, warm mouthfeel and a long finish. "
252,Le Salette Amarone Classico 2012,,"Veneto, Italy",Red Wine,91.0,"Deep ruby red robe with an intense and highly developed nose  with notes of dry herbs, prunes and cherries. Full-bodied with a velvety, warm mouthfeel and a long finish. "
253,Le Salette Amarone Classico 2013,,"Veneto, Italy",Red Wine,91.0,"Deep ruby red robe with an intense and highly developed nose with notes of dry herbs, prunes and cherries. Full-bodied with a velvety, warm mouthfeel and a long finish."
254,Le Salette Amarone della Valpolicella Pergole Vece Recioto (500ML) 2011,,"Valpolicella, Veneto, Italy",,93.0,"Ruby red with cyclamen accents. Dry fruit, forest floor with blueberry and violets gives way to hints of blackberry jam, cacao and tamarind syrup on the nose. Delicately sweet with balanced tannins, deftly balances sugar and acidity which gives a long finish while maintaining its freshness. "
255,Le Salette La Marega Amarone 2011,,"Veneto, Italy",Red Wine,91.0,"Dark ruby red color with garnet highlights. Intense perfumes of black cherries, toasted almonds and cocoa bean on the nose.  This wine is elegant and structured with a long finish."
256,Le Salette La Marega Amarone 2012,,"Veneto, Italy",Red Wine,90.0,"Dark ruby red color with garnet highlights. Intense perfumes of black cherries, toasted almonds and cocoa bean on the nose.  This wine is elegant and structured with a long finish."
257,Le Salette La Marega Amarone 2013,,"Veneto, Italy",Red Wine,93.0,"Dark ruby red color with garnet highlights. Intense perfumes of black cherries, toasted almonds and cocoa bean on the nose. This wine is elegant and structured with a long finish. "
258,Le Salette Pergole Vece Amarone 2008,,"Veneto, Italy",Red Wine,93.0,"Ruby red with violet reflections, showing ripe fruit, prune, forest floor, licorice, black pepper and coffee on the nose. A concentrated wine with great structure, elegant and harmonious which finishes with long herbaceous notes. "
259,Le Salette Pergole Vece Amarone 2011,,"Veneto, Italy",Red Wine,91.0,"Ruby red with violet reflections. Aromas of ripe fruit, prune, forest floor, licorice, black pepper and coffee. Concentrated with great structure, elegant and harmonious which finishes with long herbaceous notes. "
260,Le Salette Pergole Vece Amarone 2012,,"Veneto, Italy",Red Wine,93.0,"Ruby red with violet reflections. Intense and complex nose with aromas of ripe fruit, prune, forest floor, licorice, black pepper and coffee. Concentrated with great structure, elegant and harmonious which finishes with long herbaceous notes."
261,Le Salette Pergole Vece Amarone 2015,,"Veneto, Italy",Red Wine,95.0,"Ruby red with violet reflections. Intense and complex nose with aromas of ripe fruit, prune, forest floor, licorice, black pepper and coffee. Concentrated with great structure, elegant and harmonious which finishes with long herbaceous notes. Ideal with roasted and grilled meat, game or mature cheeses; excellent meditation wine."
262,Le Salette Valpolicella Classico 2012,,"Valpolicella, Veneto, Italy",Red Wine,88.0,"A gorgeous ruby red color with a fresh, fruit bouquet rich with cherry notes. Soft on the palate, with balanced acidity. "
263,Le Terrazze Rosso Conero 2009,,"Marche, Italy",Red Wine,90.0,"A brilliant ruby red, on the nose it is intense and fruity with ripe red fruits, a perfect example of classic Montepulciano-wines from this region. Rich, full-bodied, warm, fresh, with soft tannins and a long finish."
264,Le Vieux Donjon Chateauneuf-du-Pape (1.5 Liter Magnum) 2003,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,95.0,"""A very strong vintage for this traditionally made Chateauneuf du Pape, the 2003, a blend of 80% Grenache, 10% Syrah, and the rest Mourvedre and Cinsault, has a deep ruby/plum/purple color and a big sweet nose of dried Provencal herbs, licorice, seaweed, and spice box. The wine is massively concentrated, relatively high in alcohol by the standards here (15% plus on their component parts), and has a long, concentrated, chewy finish with high tannin and equally high extract. If there is one Chateauneuf du Pape that smells like an open-air Provencal spice, flower, and food market, it is Vieux Donjon. It is a classic, concentrated essence of Provence, all in an alcoholic beverage. This wine will need 4-5 years of cellaring when released and drink well for 15-20 years."""
265,Le Vieux Donjon Chateauneuf-du-Pape (1.5 Liter Magnum) 2005,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0,
266,Le Vieux Donjon Chateauneuf-du-Pape (1.5 Liter Magnum) 2012,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0,The secret to the success of Le Vieux Donjon is really no secret at all. They have tremendously old vines (many in excess of 80 years of age) and they are experts at picking only once the grapes have achieved optimum ripeness.
267,Le Vieux Donjon Chateauneuf-du-Pape (1.5 Liter Magnum) 2015,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0,The domain covers 15 ha of Chateauneuf-du-Pape. Only one cuvee of red and of white Chateauneuf du Pape is made. The grapes for the reds have for a great part since 1991.
268,Le Vieux Donjon Chateauneuf-du-Pape 2001,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,94.0,"""Appears to be tremendous, certainly one of the great Vieux Donjons produced.  Its dense, murky black/purple color is followed by a gorgeous nose of creosote, licorice, black cherries, blackberries, pepper,incense, smoked herbs and roasted meat. With exquisite concentration, copious tannin and considerable delineation as well as structure, this massive, promising Chateauneuf will require patience."" - Wine Advocate"
269,Le Vieux Donjon Chateauneuf-du-Pape 2003,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,94.0,"""A very strong vintage for this traditionally made Chateauneuf du Pape, the 2003, a blend of 80% Grenache, 10% Syrah, and the rest Mourvedre and Cinsault, has a deep ruby/plum/purple color and a big sweet nose of dried Provencal herbs, licorice, seaweed, and spice box. The wine is massively concentrated, relatively high in alcohol by the standards here (15% plus on their component parts), and has a long, concentrated, chewy finish with high tannin and equally high extract. If there is one Chateauneuf du Pape that smells like an open-air Provencal spice, flower, and food market, it is Vieux Donjon. It is a classic, concentrated essence of Provence, all in an alcoholic beverage. This wine will need 4-5 years of cellaring when released and drink well for 15-20 years."""
270,Le Vieux Donjon Chateauneuf-du-Pape 2006,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0,"Vieux Donjon's 2006 Chateauneuf du Pape is a powerful, seriously-endowed effort for the vintage, displaying more structure and muscle than most wines in this forward, fruit-friendly year. Classic Provencal characteristics of garrigue, licorice, lavender, pepper, and kirsch soar from the glass of this dark ruby/purple-tinged offering. In the mouth, it is masculine, tannic, medium to full-bodied, and powerfully built. Potentially one of the longest lived wines of the vintage, it will require 4-5 years of bottle age, and should evolve for two decades. "
271,Le Vieux Donjon Chateauneuf-du-Pape 2007,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0,70% Grenache; 20% Syrah; 10% Cinsault and Mourvedre.
272,Le Vieux Donjon Chateauneuf-du-Pape 2012,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0,The secret to the success of Le Vieux Donjon is really no secret at all. They have tremendously old vines (many in excess of 80 years of age) and they are experts at picking only once the grapes have achieved optimum ripeness.
273,Le Vieux Donjon Chateauneuf-du-Pape 2013,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,90.0,The secret to the success of Le Vieux Donjon is really no secret at all. They have tremendously old vines (many in excess of 80 years of age) and they are experts at picking only once the grapes have achieved optimum ripeness.
274,Le Vieux Donjon Chateauneuf-du-Pape 2016,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,94.0,#8
275,Le Vieux Donjon Chateauneuf-du-Pape (375ML half-bottle) 2006,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0,"""Deep ruby. Smoky cherry and blackcurrant aromas convey a wild, gamey quality, along with suave floral and mineral lift; smells like a northern Rhone wine. Deep dark fruit liqueur and olive flavors are sharpened by zesty minerals and finish with impressive grip and thrust. Combines energy and depth deftly."""
276,Le Vieux Donjon Chateauneuf-du-Pape (375ML half-bottle) 2012,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0,The secret to the success of Le Vieux Donjon is really no secret at all. They have tremendously old vines (many in excess of 80 years of age) and they are experts at picking only once the grapes have achieved optimum ripeness.
277,Le Vieux Donjon Chateauneuf-du-Pape Blanc 2006,,"Chateauneuf-du-Pape, Rhone, France",White Wine,91.0,"A tiny bit of superb white wine made.  Well-defined and shapely so that they may be enjoyed right away, Vieux Donjon Chateauneufs, nevertheless age slowly and magnificently."
278,Le Vigne di Eli Etna Bianco 2012,,"Sicily, Italy",White Wine,91.0,"A project by Marco de Grazia, named for his daughter Elena (Eli), that donates a large portion of the proceeds to a children's hospital in Florence. The labels are drawings by Elena. This is 100% Carricante from Mount Etna. Vinified in stainless steel vats through cold maceration and aged in 10lh barrell and tonneaux for 10 months, last passage in bottle for further 8 months. Straw yellow colour, it shows delicate orange blossom and a dainty touch of white flower, lime wood and vanilla on the nose, sapid on the palate. Fish, flesh or foul, all are fine, if very gently cooked. It loves seafood, particularly over pasta: after all, it is Sicilian. "
279,Le Vigne di Eli Etna Rosso 2012,,Italy,Red Wine,91.0,"This wine displays an intense and bright ruby red color with red fruit aromas and mineral notes. Full in the mouth, similar to Burgundy wines, elegant and fresh. "
280,Le Vigne di Eli Moganazzi-Volta Sciara Etna Rosso 2014,,"Sicily, Italy",Red Wine,91.0,"Red fruit aromas and mineral notes. Full on the palate, similar to Burgundy wines, elegant, fresh. Pair with meat dishes and seasoned cheese."
281,Le Vigne di Eli Moganazzi-Volta Sciara Etna Rosso 2016,,"Sicily, Italy",Red Wine,92.0,"Intense and bright ruby red. Typical, red fruit, mineral notes on the nose. Full in the mouth, similar to Burgundy wines, elegant and fresh on the palate."
282,Le Vigne Winery Paso Robles Cabernet Sauvignon 2016,,"Paso Robles, Central Coast, California",Red Wine,91.0,"Sweet and spicy berries with vanilla and leather on the nose. Chocolate cherries, white pepper and olive are found in the diverse flavor profile. Thelengthy and lush tannins will continue to age gracefully for several years."
283,Lea Wines Sta. Rita Hills Pinot Noir 2013,,"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,91.0,"This wine shows extraction and power but also acidity and finesse. It delivers notes of pepper, wild berries, and black cherry balanced by bright notes of strawberry and red cherry. This finish is long and silky. Drink this wine now or age it up to six years."
284,Lea Wines Sta. Rita Hills Pinot Noir 2014,,"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,92.0,"Buona Terra contributes red fruits and fresh acidity while the Turner delivers darker, stone fruit notes and a streak of exotic spice and pepper. Mormann rounds out the blend with a silky texture, long finish and juicy red raspberry and pomegranate. Very food friendly and pairs well with everything, from delicate shellfish dishes to grilled steak."
285,Leacock's 10 Year Bual Madiera,,Portugal,,88.0,"Clear, amber colour with golden highlights. A complex and intense aroma of dried fruits (fig, prunes, almonds), toffee and vanilla-spice. Medium sweet, smooth, soft fruit, balanced by a strong backbone of citrus acidity and a luxurious, long finish. "
286,Leacock's Bual 1966,,Portugal,Collectible,92.0,"Clear, amber colour with golden highlights and a tint of green at the edge. Characteristic bouquet of Madeira with notes of wood, toffee, vanilla and dried fruits. Full bodied, medium dry and smooth, very well balanced with a long and warm aftertaste."
287,Leacock's Rainwater Madeira,,"Madeira, Portugal",,90.0,"Made from Tinta Negra Mole grapes collected from multiple small, terraced vineyards that cling to the steep mountainous slopes of the island, this is a medium-dry wine combining soft fruit flavors with a dry, nutty quality.  The grapes are fermented in stainless steel tanks until a neutral grape spirit brandy is added to stop the fermentation.  Following fermentation, the wine undergoes a heating process, estufagem, where it is placed in cask in a special lodge or estufa where it will remain for at least three months.  This heating process oxidizes the wine, giving it a very long shelf life and its characteristic nutty, rich flavors.  "
288,Leaping Lizard Cabernet Sauvignon 2007,,"Napa Valley, California",Red Wine,90.0,"Our Cabernet Sauvignon is a full-bodied, fruit-forward wine that shows great structure with balanced acidity. Cassis, plum and crushed berry aromas are layered with a slight perfume/floral note and a hint of spicy oak. Red fruit flavors are found on the mid-palate through to the lingering finish. This wine is aged for 18 months  in a mix of old and new oak barrels giving the wine a velvety finish with fine-grain tannins and a soft mouthfeel."
289,Leasingham Bin 61 Shiraz 1997,,Australia,Red Wine,90.0,"A wine produced entirely from Shiraz grapes grown in the Clare Valley, this full bodied wine is big, soft and silky with minty Clare fruit. "
290,Leasingham Bin 61 Shiraz 1999,,Australia,Red Wine,90.0,"A wine produced entirely from Shiraz grapes grown in the Clare Valley, this full bodied wine is big, soft and silky with minty Clare fruit. "
291,Leasingham Bin 61 Shiraz 2001,,Australia,Red Wine,90.0,"A wine produced entirely from Shiraz grapes grown in the Clare Valley, this full bodied wine is big, soft and silky with minty Clare fruit. "
292,Leasingham Bin 61 Shiraz 2002,,Australia,Red Wine,90.0,"A wine produced entirely from Shiraz grapes grown in the Clare Valley, this full bodied wine is big, soft and silky with minty Clare fruit. "
293,Leasingham Bin 61 Shiraz 2000,,Australia,Red Wine,90.0,"A wine produced entirely from Shiraz grapes grown in the Clare Valley, this full bodied wine is big, soft and silky with minty Clare fruit. "
294,Leasingham Bin 61 Shiraz 1998,,Australia,Red Wine,91.0,"A wine produced entirely from Shiraz grapes grown in the Clare Valley, this full bodied wine is big, soft and silky with minty Clare fruit. "
295,Leasingham Bin 7 Riesling 2001,,"Clare Valley, South Australia, Australia",White Wine,87.0,"This renowned wine was first released in 1967. Its aromatic, dry wine displaying excellent lime and citrus varietal flavours. Sourced from a selection of sights throughout the Valley, the wines length of flavour and elegant overall structure serves to reinforce the Clare Valleys enviable reputation for premium Riesling."
296,Leasingham Bin 7 Riesling 2003,,"Clare Valley, South Australia, Australia",White Wine,89.0,"This renowned wine was first released in 1967. Its aromatic, dry wine displaying excellent lime and citrus varietal flavours. Sourced from a selection of sights throughout the Valley, the wines length of flavour and elegant overall structure serves to reinforce the Clare Valleys enviable reputation for premium Riesling."
297,Leasingham Bin 7 Riesling 2004,,"Clare Valley, South Australia, Australia",White Wine,90.0,"""Bright, impeccably balanced and appealing for its distinctly peppery grapefruit, green apple and floral aromas and flavors, which linger effortlessly on the dry finish."""
298,Leasingham Bin 7 Riesling 2005,,"Clare Valley, South Australia, Australia",White Wine,91.0,"""...offering bold flavors of honeycoated minerals perked by curls of lime zest. Firmly built and close to dry, you can drink it now for its power and fruit, or hold it up to 10 years or more..."""
299,Leasingham Clare Classic Cabernet Sauvignon 1997,,"Clare Valley, South Australia, Australia",Red Wine,90.0,"Fruit sourced from the low yielding dry land Schobers vineyard was used to craft a wine of intense concentration, power and length."
300,Leasingham Clare Classic Shiraz 1997,,Australia,Red Wine,91.0,"Beautifully focused and bright, this Shiraz delivers juicy, vibrant black cherry, berry and plum flavors on an elegant frame. Tannins are soft, and the finish hints at black pepper and exotic spices as it lasts and lasts. 5,000 cases made. (HS)"
301,Leasingham Clare Classic Shiraz 1998,,Australia,Red Wine,92.0,"""Bright and flavorful, supple and silky, with generous black cherry, anise and sweet leather flavors that last and last on the fine-grained finish. Drink now through 2010. 5,000 cases made."" (HS) Wine Spectator "
302,Leasingham Clare Classic Shiraz 2001,,Australia,Red Wine,92.0,"Deep ruby red with purple hues and brilliant clarity, the Leasingham Classic Clare Shiraz shows lifted mulberry fruit with dark chocolate on the nose which is carried through on the palate with concentrated sweet mulberry and raspberry fruits with creamy chocolate and coffee bean. The palate is rich and concentrated and is balanced with fine silky tannins. Richly concentrated, this Shiraz epitomises the true essence of the Clare Valley; complexity and elegance. "
303,Leasingham Clare Valley Bin 56 Cabernet Sauvignon 1999,,"Clare Valley, South Australia, Australia",Red Wine,90.0,"Cassis scents come up with air, filling this cabernet with currant, then raspberry and mixed berry flavors, only to be pushed back by the black tannin."
304,Leasingham Magnus Riesling 2003,,"Clare Valley, South Australia, Australia",White Wine,87.0,"This wine is pale straw in color with brilliant green hues. On the nose the wine shows lifted, fresh pineapple fragrance with citrus spice. The palate shows punchy, ripe lemon, citrus spice with fleshy fruit sweetness. Coupled with fine mouth-watering acidity, the finish is fresh and lively. Enjoy now or cellar for up to 5-8 years."
305,Leasingham Magnus Riesling 2006,,"Clare Valley, South Australia, Australia",White Wine,90.0,"The 2006 Magnus Riesling displays all the hallmarks of fine Clare Valley Riesling - juicy acidity, lemony citrus and fullness of flavor. "
306,Leasingham Magnus Riesling 2007,,"Clare Valley, South Australia, Australia",White Wine,91.0,"In its inaugural release, the 2006 Magnus Riesling displays all the hallmarks of fine Clare Valley Riesling; juicy acidity, lemony citrus and fullness of flavor. The palate shows fresh punchy citrus fruit balanced out by delicious, tangy acidity, and finishes long and refreshing."
307,Leasingham Magnus Riesling 2004,,"Clare Valley, South Australia, Australia",White Wine,89.0,"Riesling thrives in the warm, sunny days of the Clare Valley, with cool night temperatures ensuring the wines stay fresh and balanced, with racy acidity. The vineyards that provide fruit for the Leasingham Magnus Riesling are characterized by high altitude and lean, slate soils."
308,Lecheneaut Gevrey-Chambertin 2015,,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,93.0,"ith the spark of youth, the color is a vibrant ruby. With age, the color deepens to a crimson hue, like a black cherry. Strawberry, blackberry, violet, and rose are all a part of its spontaneous aromas; however maturation will bring forth a more licorice bouquet. Full and powerful, rich and bodied, its strong structure is confirmed. Tannins create a velvety touch, enhanced by a very fine grain, without harshness. Can be enjoyed young with its fruity notes; however, this is definitely a wine to be aged."
309,Lecheneaut Gevrey-Chambertin 2014,,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90.0,"With the spark of youth, the color is a vibrant ruby. With age, the color deepens to a crimson hue, like a black cherry. Strawberry, blackberry, violet, and rose are all a part of its spontaneous aromas; however maturation will bring forth a more licorice bouquet. Full and powerful, rich and bodied, its strong structure is confirmed. Tannins create a velvety touch, enhanced by a very fine grain, without harshness. Can be enjoyed young with its fruity notes; however, this is definitely a wine to be aged."
310,Lecheneaut Morey-Saint-Denis 2012,,"Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90.0,"It’s most common look is an assertive tone (bright ruby, intense garnet carmine) with purple highlights. The bouquet is divided among black fruit (black current, blueberry) and pitted red fruits (cherry). With age, it evokes moss and truffle. Sustained and structured, it possesses the right balance between a powerful body and a fruity expression."
311,Lecheneaut Morey-Saint-Denis 2016,,"Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90.0,"This cuvée is sourced from several parcels, spread out over .22 hectares total: Pierres Virants is 80% of the blend, with the balance made up of fruit from En Seuvrey, Cognées and Porroux. The vines are rooted in limestone and chalky-clay soils from the Jurassic period: Bathonian white öolite on the top of the hill and Bajocian chalk on the downslope, with a pocket of marl just above the village itself. "
312,Lecheneaut Morey-St-Denis 2014,,"Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,91.0,"It’s most common look is an assertive tone (bright ruby, intense garnet carmine) with purple highlights. The bouquet is divided among black fruit (black current, blueberry) and pitted red fruits (cherry). With age, it evokes moss and truffle. Sustained and structured, it possesses the right balance between a powerful body and a fruity expression."
